HS2021050502032021050620220104AI
D202105060712572271   Murdoch Mysteries (12)                                                                              Murdoch Mysteries                                                                                   572275   04, Murdoch Without Borders                                                                         Murdoch Without Borders                                                                             327083   04739  500028351Crime Drama                                                                                         004203159992190Murdoch Mysteries                                                                                   
D202105060800572271   Murdoch Mysteries (12)                                                                              Murdoch Mysteries                                                                                   572276   05, The Spy Who Loved Murdoch                                                                       The Spy Who Loved Murdoch                                                                           327083   06004  500028351Crime Drama                                                                                         004200159992194Murdoch Mysteries                                                                                   
D202105060900582269   Motive (01)                                                                                         Motive                                                                                              582282   Episode 13                                                                                          The One Who Got Away                                                                                582268   05916  500028351Crime Drama                                                                                         004002163495178Motive                                                                                              
D202105060959572223   Frankie Drake Mysteries (02)                                                                        Frankie Drake Mysteries                                                                             572232   Ep 09                                                                                               Dealer's Choice                                                                                     563161   06014  500028351Crime Drama                                                                                         004150163495120Frankie Drake Mysteries                                                                             
D202105061059581511   Ms Fisher's MODern Murder Mysteries (01)                                                            Ms Fisher's Modern Murder Mysteries                                                                 581516   Ep 05                                                                                               Space for Murder Part 1                                                                             581510   05920  500028351Crime Drama                                                                                         004506163495271Ms Fisher's Modern Murder Mysteries                                                                 
D202105061159260602   New Tricks (09) (HD)                                                                                New Tricks                                                                                          129224   03. Queen and Country                                                                               Queen and Country                                                                                   327084   06039  500028351Crime Drama                                                                                         006000163495358New Tricks                                                                                          
D202105061259573851   Father Brown (05)                                                                                   Father Brown                                                                                        573917   Ep 03                                                                                               The Eve of St John                                                                                  329855   05930  500028351Crime Drama                                                                                         004406163495378Father Brown                                                                                        
D202105061359252148   Murdoch Mysteries (03) (HD)                                                                         Murdoch Mysteries                                                                                   109711   10. The Curse of Beaton Manor                                                                       The Curse of Beaton Manor                                                                           327083   06048  500028351Crime Drama                                                                                         004600163495495Murdoch Mysteries                                                                                   
D202105061500252148   Murdoch Mysteries (03) (HD)                                                                         Murdoch Mysteries                                                                                   109712   11. Hangman                                                                                         Hangman                                                                                             327083   06008  500028351Crime Drama                                                                                         004600163495496Murdoch Mysteries                                                                                   
D202105061600252148   Murdoch Mysteries (03) (HD)                                                                         Murdoch Mysteries                                                                                   109713   12. In the Altogether                                                                               In the Altogether                                                                                   327083   06053  500028351Crime Drama                                                                                         004600163495498Murdoch Mysteries                                                                                   
D202105061701581511   Ms Fisher's MODern Murder Mysteries (01)                                                            Ms Fisher's Modern Murder Mysteries                                                                 581516   Ep 05                                                                                               Space for Murder Part 1                                                                             581510   06120  500028351Crime Drama                                                                                         004506163495499Ms Fisher's Modern Murder Mysteries                                                                 
D202105061802590351   Major Crimes (04)                                                                                   Major Crimes                                                                                        590385   Ep 16                                                                                               Thick as Thieves                                                                                    589366   05910  500028351Crime Drama                                                                                         003956163495517Major Crimes                                                                                        
D202105061901590351   Major Crimes (04)                                                                                   Major Crimes                                                                                        590386   Ep 17                                                                                               Find Kayla Weber                                                                                    589366   05811  500028351Crime Drama                                                                                         003957163495518Major Crimes                                                                                        
D202105061959573851   Father Brown (05)                                                                                   Father Brown                                                                                        573917   Ep 03                                                                                               The Eve of St John                                                                                  329855   06020  500028351Crime Drama                                                                                         004406163495524Father Brown                                                                                        
D202105062100604517   Shakespeare & Hathaway - Private Investigators (03)                                                 Shakespeare & Hathaway: Private Investigators                                                       604550   06, Reputation, Reputation, Reputation!                                                             Reputation, Reputation, Reputation!                                                                 581699   06034  500028351Crime Drama                                                                                         104300160138122Shakespeare & Hathaway: Private Investigators                                                       
D202105062200586474   Murdoch Mysteries (13)                                                                              Murdoch Mysteries                                                                                   586484   10, Parker in the Rye                                                                               Parker in the Rye                                                                                   327083   05937  500028351Crime Drama                                                                                         004213163496750Murdoch Mysteries                                                                                   
D202105062300260602   New Tricks (09) (HD)                                                                                New Tricks                                                                                          129224   03. Queen and Country                                                                               Queen and Country                                                                                   327084   06049  500028351Crime Drama                                                                                         006000163496718New Tricks                                                                                          
D202105062401595438   Miss Scarlet and the Duke (01) hour long version                                                    Miss Scarlet and the Duke                                                                           595444   Ep 06                                                                                               Miss Scarlet and the Duke                                                                           592610   06015  500028351Crime Drama                                                                                         004411163496437Miss Scarlet and the Duke                                                                           
D202105062501582395   Motive (04)                                                                                         Motive                                                                                              582403   Episode 08                                                                                          Foreign Relations                                                                                   582268   05852  500028351Crime Drama                                                                                         004208166484120Motive                                                                                              
D202105062600582395   Motive (04)                                                                                         Motive                                                                                              582404   Episode 09                                                                                          Remains to Be Seen                                                                                  582268   04733  500028351Crime Drama                                                                                         004207166484122Motive                                                                                              
D202105062700592572   Carter (02)                                                                                         Carter                                                                                              592574   Ep 02                                                                                               Harley Loses a Finger                                                                               568437   04502  500028351Crime Drama                                                                                         004026166484303Carter                                                                                              
D202105062745585332   Zoom In (1)                                                                                         Zoom In                                                                                             585343   11, The Hunger Games                                                                                Zoom In                                                                                             585331   00721  500023213Filler                                                                                              000631167171164Zoom In                                                                                             
D202105062752585332   Zoom In (1)                                                                                         Zoom In                                                                                             585365   33, La La Land                                                                                      Zoom In                                                                                             585331   00719  500023213Filler                                                                                              000615167171238Zoom In                                                                                             
D202105070712572271   Murdoch Mysteries (12)                                                                              Murdoch Mysteries                                                                                   572277   06, Sir. Sir? Sir!!!                                                                                Sir. Sir? Sir!!!                                                                                    327083   04702  500028351Crime Drama                                                                                         004206159992197Murdoch Mysteries                                                                                   
D202105070759572271   Murdoch Mysteries (12)                                                                              Murdoch Mysteries                                                                                   572278   07, Brother's Keeper                                                                                Brother's Keeper                                                                                    327083   05925  500028351Crime Drama                                                                                         004211159992201Murdoch Mysteries                                                                                   
D202105070859573851   Father Brown (05)                                                                                   Father Brown                                                                                        573916   Ep 04                                                                                               The Chedworth Cyclone                                                                               329855   06115  500028351Crime Drama                                                                                         004401163495179Father Brown                                                                                        
D202105071000572223   Frankie Drake Mysteries (02)                                                                        Frankie Drake Mysteries                                                                             572233   Ep 10                                                                                               Now You See Her                                                                                     563161   05924  500028351Crime Drama                                                                                         004150163495121Frankie Drake Mysteries                                                                             
D202105071059581511   Ms Fisher's MODern Murder Mysteries (01)                                                            Ms Fisher's Modern Murder Mysteries                                                                 581517   Ep 06                                                                                               Space for Murder Part 2                                                                             581510   05939  500028351Crime Drama                                                                                         004225163495274Ms Fisher's Modern Murder Mysteries                                                                 
